employee_id,hours_worked,tasks_completed,attendance_rate,basic,hra,ta,da,mental_fatigue,break_time,salary_total,work_efficiency,stress_score,burnout_index,burnout_label,productivity_score
1,45.5,25,0.95,35000,7000,3000,1500,4,1.5,46500,5.49,4.45,4.48,0,75.0
2,52.1,30,0.88,42000,9000,3500,2000,6,1.2,56500,5.76,6.21,5.91,0,68.5
3,33.4,45,0.99,48000,12000,4500,2500,2,2.0,67000,13.47,2.15,3.12,0,94.2
4,58.9,12,0.72,25000,5500,2200,1200,9,0.5,33900,2.04,9.61,8.49,1,32.4
5,40.0,22,0.92,30000,6000,2500,1500,5,1.0,40000,5.5,5.5,5.05,0,72.8
6,48.2,35,0.94,38000,7500,3200,1800,3,1.8,50500,7.26,4.12,4.33,0,81.2
7,55.5,18,0.81,28000,6500,2800,1400,7,0.8,38700,3.24,7.85,7.16,1,55.6
8,35.8,40,0.97,45000,10500,4000,2200,2,1.5,61700,11.17,3.42,3.47,0,89.9
9,42.4,28,0.93,32000,6800,2700,1600,4,1.1,43100,6.6,4.76,4.61,0,78.5
10,50.1,20,0.85,29000,6200,2400,1300,8,0.9,38900,3.99,8.41,7.39,1,48.2
